model_type,threshold,pr_auc,roc_auc,positive_examples,negative_examples
linear_regression,50,0.04945279092946057,0.5309300965194501,52,1315
linear_regression,100,0.04945279092946057,0.5309300965194501,52,1315
linear_regression,150,0.04945279092946057,0.5309300965194501,52,1315
linear_regression,200,0.04945279092946057,0.5309300965194501,52,1315
xgboost,50,0.04945279092946057,0.5309300965194501,52,1315
xgboost,100,0.04945279092946057,0.5309300965194501,52,1315
xgboost,150,0.04945279092946057,0.5309300965194501,52,1315
xgboost,200,0.04945279092946057,0.5309300965194501,52,1315
