PredictiveFeature,TargetFeature,SHAPValue
LMO7,MYO9A,0.0044300396708998
TCOF1,MYO9A,0.0066491246356797
AHNAK2,MYO9A,0.0142865641905129
SRRM2,MYO9A,0.0052677901991015
KMT2D,MYO9A,0.0383420282777092
CLASP1,MYO9A,0.0054349480396132
PLEC,MYO9A,0.0045090945424815
NEB,BAZ1A,0.0063644169044956
BRD8,BAZ1A,0.0197406075000445
TBX2,BAZ1A,0.0026045167588814
ABLIM1,BAZ1A,0.025938378521096
HRC,BAZ1A,0.0015862604164765
TCOF1,OTUD5,0.0049802614495828
MDC1,OTUD5,0.0046791089786358
KMT2D,OTUD5,0.0159848079504166
BAG3,OTUD5,0.0058961645071785
NUMA1,OTUD5,0.0428138451025451
NIPBL,OTUD5,0.0102021410068554
ABLIM1,OTUD5,0.0047462972999707
MAP1S,OTUD5,0.0196464366349353
NCL,OTUD5,0.0264958038824006
NCOR1,BRF1,0.0148261816777601
DPYSL2,BRF1,0.0049851286440378
ADAR,BRF1,0.0069834867344808
CLASP1,BRF1,0.0096309275948896
PRRC2A,BRF1,0.00361346026678
KMT2D,BRF1,0.0222055203078921
AKAP9,BRF1,0.0029010721836423
NUMA1,BRF1,0.0115283067076748
GPATCH8,BRF1,0.0063012890688448
NEB,BCR,0.0054006717194663
TTN,BCR,0.0015884451899236
COBL,BCR,0.0018440991871338
FAM83B,BCR,0.0013932565879748
CAST,BCR,0.0201101977371112
NACA,BCR,0.0017543461789088
DMD,BCR,0.0062010626175065
ARPP19,BCR,0.001435648884115
ARHGAP32,BCR,0.0089955470454017
HUWE1,LPIN1,0.0027105128728395
SRRM2,LPIN1,0.0050946245447726
PLEC,LPIN1,0.0544527641049384
NCOR2,LPIN1,0.0199491726725951
AKAP9,LPIN1,0.0112045569575625
LARP1,LPIN1,0.0237688461875225
CDC42BPA,LPIN1,0.0083132314061472
NUMA1,LPIN1,0.0035083322827768
NHSL3,LPIN1,0.0036867174636108
ABLIM1,LPIN1,0.0025482466404394
TTN,SRSF8,0.0024166939030491
SPEG,SRSF8,0.0125674308701691
DMD,SRSF8,0.0013947052992342
ABLIM1,SRSF8,0.0264990075876927
HUWE1,SRSF8,0.008925055545135
CAST,SRSF8,0.0155412436955629
FAM83B,SRSF8,0.0008894881476013
HSPA8,ZNF445,0.0008984517208146
AHNAK2,ZNF445,0.0014894612582591
NEB,ZNF445,0.0033078454236536
ATG9A,ZNF445,0.0037589089304932
NCOR1,ZNF445,0.0094092181672611
SPEN,ZNF445,0.0112037297876286
GPATCH8,ZNF445,0.0011464223774949
CBX3,ZNF445,0.0011768945496757
NCOR2,ZNF445,0.0003790528571758
PRR5L,ZNF445,0.001384372007516
LMO7,SORBS1,0.0186764485549038
AHNAK2,SORBS1,0.003216623935655
LRRFIP2,SORBS1,0.004373221694573
TJP1,SORBS1,0.0609982168367449
RIF1,SORBS1,0.0030807978396456
POLR2A,SORBS1,0.0043596480983713
RASAL2,SORBS1,0.0037778698646446
ABLIM1,SORBS1,0.0082908633461033
WASHC2A,SORBS1,0.0044927977423451
LMO7,WDR11,0.0102688590128428
LRRFIP2,WDR11,0.0168140045486693
PLEKHA6,WDR11,0.0395500110586033
TJP1,WDR11,0.0644457292997952
PCBP1,WDR11,0.0056191861656455
USP10,WDR11,0.0239857458067975
EIF4B,WDR11,0.0033106754914368
MIA2,WDR11,0.0074021390520206
CAMK2B,MAVS,0.0175724739827863
USP24,MAVS,0.0795599922077111
CAMSAP1,MAVS,0.002082377769982
PCBP2,MAVS,0.0026026117967836
SVIL,MAVS,0.0059832801784199
RAI1,MAVS,0.001712294806301
