Feature,TargetFeature,FisherScore,MedianCoeff,MeanR2,MeanMSE,Coeff*R2
BRAF,ABCC1,8.418426478195085,-0.1995400539087966,0.5269279039438535,0.0192364309351625,-0.1051432223590057
SOS1,ABCF1,15.509754017395672,-0.2008414001292769,0.6346787965167475,0.0331175852101811,-0.127469778124788
BRAF,ADGRG1,14.429840693357765,-0.2126873375507857,0.1449191809574088,0.0180035688500088,-0.0308224747578718
SOS1,AHNAK,2.081223003059623,-0.1496648707805466,0.4782014018562222,0.0187647575050169,-0.0715699510158877
ERBB2,AIF1,15.367201926649075,0.0495266899061681,0.1513978311647889,0.0221069470983398,0.0074982334365649
BRAF,ANXA2,10.96860212184832,-0.0116046707808677,0.1387265884032206,0.0175333900598308,-0.0016098763869723
ABLIM1,ARAF,3.2769332296975824,0.1219592534407519,0.6162885413669814,0.0268721434836363,0.075162090409207
ADAR,ARAF,4.862984089018372,0.0890287858947682,0.6162885413669814,0.0268721434836363,0.05486742059876
ADNP,ARAF,3.793093237603314,0.2141264106642851,0.6162885413669814,0.0268721434836363,0.1319636532964395
AHCTF1,ARAF,2.9933567815779325,0.0160951575466421,0.6162885413669814,0.0268721434836363,0.0099192611674918
AHNAK2,ARAF,5.986511147780051,0.1263939605259937,0.6162885413669814,0.0268721434836363,0.0778951495701605
AKAP9,ARAF,3.0257276379998945,0.1579914022043181,0.6162885413669814,0.0268721434836363,0.0973682908130233
ALMS1,ARAF,2.9229817947010788,-0.4008693374273501,0.6162885413669814,0.0268721434836363,-0.2470511792418499
ATXN2L,ARAF,3.60322059864078,0.0023904899426923,0.6162885413669814,0.0268721434836363,0.0014732315599342
ATXN2,ARAF,6.76319561741561,0.2137247855754346,0.6162885413669814,0.0268721434836363,0.1317161363562555
BAZ2A,ARAF,7.645988089961203,0.5242149894228635,0.6162885413669814,0.0268721434836363,0.3230676911941241
BCLAF1,ARAF,7.360067352675168,0.0461404140033593,0.6162885413669814,0.0268721434836363,0.0284358084441989
CDC42BPA,ARAF,3.1629221431477843,-0.1329087591376292,0.6162885413669814,0.0268721434836363,-0.081910145303825
