model_type,threshold,pr_auc,roc_auc,positive_examples,negative_examples
linear_regression,50,0.0008831289323325321,0.5636876053745236,42,80241
linear_regression,100,0.0003326591049473694,0.47099481753221367,30,80142
linear_regression,150,0.0006138394238972539,0.6445239419635085,31,75970
linear_regression,200,0.0005604927554897963,0.5110612374720881,42,73360
xgboost,50,0.0004894423249548965,0.44412878787878785,11,21504
xgboost,100,0.0003801938931348424,0.4970079456455304,9,23451
xgboost,150,0.0002560397637412071,0.3422318867400759,8,21614
xgboost,200,0.0005531463311588856,0.4901355178377968,11,19132
