model_type,threshold,pr_auc,roc_auc,positive_examples,negative_examples
linear_regression,50,0.0016654060595764017,0.5646399594320487,10,19720
linear_regression,100,0.0002804145193998317,0.43379962637718256,6,22661
linear_regression,150,0.0005228088142300463,0.6617257369990064,8,21133
linear_regression,200,0.0005331445468619988,0.47811990351468275,11,18618
xgboost,50,0.0003828657709195553,0.3993711967545639,10,19720
xgboost,100,0.0002503705508432828,0.4304458467558066,6,22661
xgboost,150,0.000264810729905189,0.34730634552595463,8,21133
xgboost,200,0.0005883948983720421,0.49838377327903594,11,18618
